contact,NOUN,5
physical,ADJ,10
resemblance,NOUN,2
perpetual,ADJ,1
fly,VERB,1
interesting,VERB,2
phenomenon,NOUN,1
dissimilarity,NOUN,1
except,ADP,19
lived,VERB,10
west,ADJ,18
the—well,VERB,1
le,ADV,6
superficial,ADJ,1
sinister,NOUN,4
tip,NOUN,4
fifty,ADJ,8
yard,NOUN,7
place,NOUN,23
colossal,NOUN,3
affair,NOUN,7
standard—it,NOUN,1
imitation,NOUN,1
de,ADP,3
ville,X,1
side,NOUN,27
thin,ADJ,8
beard,NOUN,1
ivy,NOUN,1
swimming,VERB,1
pool,NOUN,11
mansion,NOUN,5
know,VERB,85
small,ADJ,34
overlooked,VERB,1
view,NOUN,5
partial,ADJ,1
neighbour’s,ADJ,2
consoling,VERB,2
millionaires—all,NOUN,1
eighty,ADJ,1
dollar,NOUN,4
across,ADP,26
white,ADJ,40
glittered,VERB,1
along,ADP,27
history,NOUN,6
begin,VERB,4
evening,NOUN,14
drove,VERB,11
dinner,NOUN,9
daisy,NOUN,119
second,ADJ,10
cousin,NOUN,7
removed,VERB,5
chicago,NOUN,14
accomplishment,NOUN,1
powerful,ADJ,2
played,VERB,7
national,ADJ,3
twentyone,NOUN,1
savour,NOUN,1
anticlimax,NOUN,1
enormously,ADV,1
reproach—but,NOUN,1
he’d,VERB,3
fashion,NOUN,1
took,VERB,48
breath,NOUN,10
instance,NOUN,1
string,NOUN,4
pony,NOUN,1
lake,NOUN,3
forest,NOUN,2
wealthy,ADJ,2
enough,ADV,12
don’t,NOUN,44
reason,NOUN,8
drifted,VERB,5
rich,ADJ,8
believe,VERB,16
it—i,NOUN,1
sight,NOUN,12
would,VERB,51
forever,ADV,4
turbulence,NOUN,1
irrecoverable,ADJ,1
game,NOUN,4
happened,VERB,16
east,VERB,1
friend,NOUN,22
scarcely,ADV,7
elaborate,ADJ,3
georgian,ADJ,1
overlooking,VERB,1
front,NOUN,17
door,NOUN,68
jumping,NOUN,1
burning,VERB,1
gardens—finally,ADV,1
reached,VERB,15
drifting,VERB,3
momentum,NOUN,1
french,ADJ,4
warm,NOUN,2
buchanan,NOUN,18
clothes,NOUN,7
leg,NOUN,4
porch,NOUN,16
changed,VERB,7
sturdy,ADJ,2
strawhaired,ADJ,1
manner,NOUN,4
established,VERB,2
face,NOUN,50
leaning,VERB,6
forward,ADV,13
effeminate,NOUN,1
swank,NOUN,1
riding,NOUN,1
hide,VERB,1
fill,VERB,1
glistening,VERB,4
top,ADJ,3
shifting,VERB,2
coat,NOUN,15
cruel,NOUN,1
speaking,NOUN,2
voice,NOUN,68
added,VERB,12
